"plot_id";"PM_LEAF_PC";"bbch_stage";"observation_date"
"2B";1;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";4;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";6;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";10;"BBCH 69";"2024-06-05"
"2B";12;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";4;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";4;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";4;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";4;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
"2C";3;"BBCH 69";"2024-06-05"
"2C";1;"BBCH 69";"2024-06-05"
"2C";1;"BBCH 69";"2024-06-05"
"2C";1;"BBCH 69";"2024-06-05"
"2C";5;"BBCH 69";"2024-06-05"
"2C";1;"BBCH 69";"2024-06-05"
"2C";2;"BBCH 69";"2024-06-05"
"2C";1;"BBCH 69";"2024-06-05"
"2C";1;"BBCH 69";"2024-06-05"
"2C";2;"BBCH 69";"2024-06-05"
